popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11
51,0.707,0.614,-9.377,0,0.058,0.198,0.0,0.177,0.957,156.473,3.5166666666666666,0,0,0,0,0,0,1,0,0,0,0
0,0.647,0.528,-12.739,1,0.0409,0.411,0.0,0.0481,0.621,136.118,4.086666666666667,0,0,0,0,0,0,1,0,0,0,0
53,0.738,0.85,-7.278,1,0.0756,0.53,0.0,0.213,0.967,88.799,3.673766666666667,0,0,0,0,0,0,0,0,1,0,0
54,0.517,0.516,-12.441,1,0.0342,0.443,3.9e-06,0.236,0.601,151.06,3.664433333333333,0,0,0,0,0,0,0,0,0,0,1
50,0.615,0.403,-11.648,1,0.0282,0.425,4.41e-06,0.321,0.454,136.377,3.5782166666666666,0,0,0,1,0,0,0,0,0,0,0
47,0.781,0.809,-7.395,1,0.103,0.332,0.0,0.0787,0.745,93.548,3.1988833333333333,0,1,0,0,0,0,0,0,0,0,0
62,0.668,0.744,-10.717,0,0.111,0.363,0.0,0.0977,0.931,104.665,3.719333333333333,0,0,0,0,0,0,0,0,1,0,0
82,0.773,0.758,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,3.747333333333333,1,0,0,0,0,0,0,0,0,0,0
73,0.893,0.745,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,3.72355,0,0,0,0,0,0,0,0,0,0,1
80,0.765,0.523,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,3.621766666666667,0,1,0,0,0,0,0,0,0,0,0
74,0.671,0.672,-3.094,0,0.0688,0.0329,0.0,0.118,0.632,97.979,3.402883333333333,0,0,0,0,0,0,0,0,0,0,0
78,0.801,0.795,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,2.720883333333333,1,0,0,0,0,0,0,0,0,0,0
78,0.579,0.736,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,3.84355,0,0,0,0,0,1,0,0,0,0,0
69,0.653,0.816,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,3.8137666666666665,0,1,0,0,0,0,0,0,0,0,0
3,0.857,0.801,-6.499,1,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,3.21,0,0,0,0,0,0,0,0,0,0,0
80,0.744,0.766,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,4.818883333333333,0,0,0,0,0,0,0,0,0,0,0
68,0.866,0.857,-5.894,1,0.0664,0.13,0.0017,0.13,0.408,130.049,4.190666666666667,0,0,0,0,0,0,0,0,1,0,0
77,0.798,0.629,-6.857,0,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,4.73955,0,0,0,0,0,0,0,0,0,0,1
76,0.659,0.629,-8.685,0,0.18,0.19,0.0,0.105,0.262,94.049,3.6571,0,0,0,0,0,0,0,0,0,0,0
26,0.599,0.483,-4.726,1,0.0423,0.8,1.09e-06,0.0721,0.646,87.958,3.80075,0,0,0,0,0,0,0,0,0,0,1
65,0.643,0.344,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,4.181766666666666,0,1,0,0,0,0,0,0,0,0,0
73,0.366,0.94,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,4.260433333333333,1,0,0,0,0,0,0,0,0,0,0
70,0.577,0.604,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,4.390666666666666,0,0,0,0,1,0,0,0,0,0,0
66,0.376,0.908,-3.793,0,0.0879,1.4e-05,1.4e-05,0.241,0.266,144.581,4.426,0,0,0,1,0,0,0,0,0,0,0
1,0.546,0.9,-6.728,1,0.0691,0.0421,4.57e-05,0.292,0.447,90.591,3.598883333333333,0,0,0,0,1,0,0,0,0,0,0
61,0.643,0.364,-11.018,0,0.04,0.715,0.0,0.659,0.283,133.377,3.838216666666667,0,0,0,0,1,0,0,0,0,0,0
2,0.635,0.786,-6.46,1,0.0377,0.0349,0.00767,0.497,0.305,97.54,4.025766666666667,0,0,0,0,0,0,0,0,0,0,0
57,0.432,0.377,-5.79,1,0.0304,0.459,0.0,0.114,0.394,94.973,4.347766666666667,0,0,0,0,0,0,1,0,0,0,0
51,0.563,0.26,-5.856,1,0.0391,0.518,0.0,0.146,0.616,145.561,3.7704333333333335,0,1,0,0,0,0,0,0,0,0,0
