id,name,artists,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y,duration_min
76oTcfNSAGS1cmzVTjof5e,Sua filha é puta,MC Levin,168250,28,0.684,0.443,5,-6.753,0,0.323,0.494,0.00305,0.0288,0.629,88.506,0,2.8041666666666667
2kWowyDGD9yOL0WQzni20m,Vou Parar de Tomar Gin,Mc IG,162046,0,0.802,0.52,0,-6.973,1,0.253,0.447,0.0,0.0942,0.956,160.054,0,2.7007666666666665
142YjJNOuXjzeSDnB1ujw1,Sua amiga deu,MC Levin,178173,58,0.947,0.556,7,-4.536,1,0.0736,0.277,5.43e-06,0.208,0.426,130.046,0,2.96955
0jlLqG8aydyDjZkJ0ShmPg,Capital das Notas,MC Menor Mr,184000,0,0.719,0.565,3,-5.924,1,0.212,0.309,0.0,0.0768,0.643,82.732,0,3.066666666666667
5PNJXjGx8PAFooqCRuTUIv,Casal Bonnie e Clyde,Mc Magal,190907,49,0.552,0.491,1,-5.261,1,0.312,0.0789,0.0,0.0471,0.765,86.041,0,3.181783333333333
6hBJItQ4UzU7daLNHefFdd,Abandonei a Gabriela,MC V7,218666,0,0.734,0.656,5,-4.805,1,0.038,0.0531,0.0,0.0967,0.53,89.988,0,3.644433333333333
1yaR4QvPRMqC9gbIIKqdwj,Não Complica,MC Vinny,140840,0,0.816,0.555,9,-6.599,1,0.0997,0.103,5.18e-05,0.0594,0.661,150.096,0,2.3473333333333333
4kiauw5SBqEsu5GuGD09aM,Novinha Você É uma Flor,MC Alexandre,143971,0,0.86,0.469,7,-6.262,1,0.109,0.23,0.0,0.0988,0.769,130.126,0,2.3995166666666665
2sFtx0JbwbPWE06xTbkYvN,Anonimato,Mc PP da VS,231549,0,0.94,0.633,5,-6.061,0,0.301,0.511,0.0,0.692,0.74,129.938,0,3.85915
6xdJxdr8ZgQxrp9DjjBX1M,Banheira de Espuma,MC Neguinho do Kaxeta,186352,0,0.722,0.57,3,-7.955,0,0.101,0.189,0.0,0.152,0.821,170.002,0,3.1058666666666666
1x82ck25gCbMhOjzPriTO3,É Tudo Puta,MC Maneirinho,142841,0,0.961,0.623,10,-5.488,0,0.131,0.0951,0.0756,0.0678,0.728,130.092,0,2.3806833333333333
0qFg2j9IjTwEKlG7ubIwm5,Toma Karen,MC Fabinho da Osk,248293,31,0.951,0.968,10,0.55,0,0.201,0.642,0.00083,0.0884,0.579,130.006,0,4.138216666666667
1NhURyuIRBR9mjL9mEq19l,Toma na Tcheka Vara,MC Gomes,163555,18,0.902,0.476,7,-3.478,0,0.358,0.626,0.0,0.0635,0.851,135.138,0,2.7259166666666665
3AUyKWQEarfRQzDa0V1QI9,Dá uma Sentada Que Passa,Mc Kaio,140538,47,0.815,0.642,11,-4.677,0,0.0374,0.231,0.00198,0.179,0.664,130.07,0,2.3423
2FGJiO7pau2JkaO5VUYTL2,Vai Com a Potranca,Mc 7 Belo,167758,0,0.852,0.526,10,-6.539,1,0.256,0.676,0.00746,0.322,0.573,129.982,0,2.7959666666666667
3XxCrC4JUUy9RNVfjDW9MG,011 É o Ddd,Mc Talibã,145266,0,0.956,0.982,7,0.282,1,0.296,0.677,0.0104,0.75,0.495,129.899,0,2.4211
4VgvliS9U0tMW1YByWUQpv,O Momento de Botar,MC Rafa Original,197538,0,0.949,0.473,7,-4.102,1,0.236,0.511,2.53e-05,0.0943,0.724,130.052,0,3.2923
