id,name,artists,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y,duration_min
1XNdu4czbxZ9tdVOhDtI4M,Cheia de Manias,Raça Negra,211000,51,0.707,0.614,7,-9.377,0,0.058,0.198,0.0,0.177,0.957,156.473,1,3.5166666666666666
1SaeGiWS1LQhfRc6ObQfvq,Que Se Chama Amor,Só Pra Contrariar,245200,0,0.647,0.528,7,-12.739,1,0.0409,0.411,0.0,0.0481,0.621,136.118,1,4.086666666666667
6jBZxE0VZpmgZud4L5lo0u,Paparico,Molejo,220426,53,0.738,0.85,9,-7.278,1,0.0756,0.53,0.0,0.213,0.967,88.799,1,3.673766666666667
43uHeQc9kdMzFAbxCTcgiI,Telegrama,Exaltasamba,219866,54,0.517,0.516,11,-12.441,1,0.0342,0.443,3.9e-06,0.236,0.601,151.06,1,3.664433333333333
4tILvSk9XcdCBzjyzhsuze,É Tarde Demais,Raça Negra,214693,50,0.615,0.403,4,-11.648,1,0.0282,0.425,4.41e-06,0.321,0.454,136.377,1,3.5782166666666666
0G3PPOWMMPwBJIEH7Udnsu,Pimpolho,Art Popular,191933,47,0.781,0.809,2,-7.395,1,0.103,0.332,0.0,0.0787,0.745,93.548,1,3.1988833333333333
2CfYBDMvXBKxIqBOUjAvfU,Cilada,Molejo,223160,62,0.668,0.744,9,-10.717,0,0.111,0.363,0.0,0.0977,0.931,104.665,1,3.719333333333333
6RtPijgfPKROxEzTHNRiDp,Rude,MAGIC!,224840,82,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,1,3.747333333333333
5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,223413,73,0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,1,3.72355
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,217306,80,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,1,3.621766666666667
1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,204173,74,0.671,0.672,0,-3.094,0,0.0688,0.0329,0.0,0.118,0.632,97.979,1,3.4028833333333335
6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,163253,78,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,1,2.7208833333333335
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Avicii,230613,78,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,1,3.84355
6rPO02ozF3bM7NnOV4h6s2,Despacito - Remix,Luis Fonsi,228826,69,0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,1,3.8137666666666665
6jEZLz3YpnEBRpVkv35AmP,Gasolina,Daddy Yankee,192600,3,0.857,0.801,0,-6.499,1,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,1,3.21
4kLLWz7srcuLKA7Et40PQR,I Gotta Feeling,Black Eyed Peas,289133,80,0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,1,4.818883333333333
3oDFtOhcN08qeDPAK6MEQG,Boom Boom Pow,Black Eyed Peas,251440,68,0.866,0.857,9,-5.894,1,0.0664,0.13,0.0017,0.13,0.408,130.049,1,4.190666666666667
3F9ByoUqu31xU0I3G5xfVg,Meet Me Halfway,Black Eyed Peas,284373,77,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,1,4.73955
3JA9Jsuxr4xgHXEawAdCp4,Just Can’t Get Enough,Black Eyed Peas,219426,76,0.659,0.629,0,-8.685,0,0.18,0.19,0.0,0.105,0.262,94.049,1,3.6571
5jRv01LnV7orjhMWiL5PyM,Naive - Acoustic,The Kooks,228045,26,0.599,0.483,11,-4.726,1,0.0423,0.8,1.09e-06,0.0721,0.646,87.958,1,3.80075
3QmesrvdbPjwf7i40nht1D,Everlong - Acoustic Version,Foo Fighters,250906,65,0.643,0.344,2,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,1,4.181766666666666
5FZxsHWIvUsmSK1IAvm2pp,Best of You,Foo Fighters,255626,73,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,1,4.260433333333333
6tsojOQ5wHaIjKqIryLZK6,All My Life,Foo Fighters,263440,70,0.577,0.604,5,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,1,4.390666666666666
67vYdAAM3oGsEImCRfbtsF,Times Like These,Foo Fighters,265560,66,0.376,0.908,4,-3.793,0,0.0879,1.4e-05,1.4e-05,0.241,0.266,144.581,1,4.426
2jz6rWGqVCYsymwxGoaON4,Detroit Rock City,KISS,215933,1,0.546,0.9,5,-6.728,1,0.0691,0.0421,4.57e-05,0.292,0.447,90.591,1,3.598883333333333
3ftHrCjsTUPLgI48m67byk,Plush - Acoustic,Stone Temple Pilots,230293,61,0.643,0.364,5,-11.018,0,0.04,0.715,0.0,0.659,0.283,133.377,1,3.838216666666667
7zkDEBSxkcBVsStS4qBFpK,Lisztomania,Phoenix,241546,2,0.635,0.786,0,-6.46,1,0.0377,0.0349,0.00767,0.497,0.305,97.54,1,4.025766666666667
5T6bJp3XgwT0IaCfKMxmAu,Perfect - Acoustic,Ed Sheeran,260866,57,0.432,0.377,7,-5.79,1,0.0304,0.459,0.0,0.114,0.394,94.973,1,4.347766666666667
5X6TnKT37TaSDkFm0598Uo,Castle on the Hill - Acoustic,Ed Sheeran,226226,51,0.563,0.26,2,-5.856,1,0.0391,0.518,0.0,0.146,0.616,145.561,1,3.7704333333333335
4BpndTKEqpLgntffipC53q,Don't You Worry Child - Acoustic Version,Swedish House Mafia,257923,50,0.554,0.792,11,-8.166,0,0.0309,0.406,0.000665,0.315,0.537,102.042,1,4.2987166666666665
