id,name,artists
1XNdu4czbxZ9tdVOhDtI4M,Cheia de Manias,Raça Negra
1SaeGiWS1LQhfRc6ObQfvq,Que Se Chama Amor,Só Pra Contrariar
6jBZxE0VZpmgZud4L5lo0u,Paparico,Molejo
43uHeQc9kdMzFAbxCTcgiI,Telegrama,Exaltasamba
4tILvSk9XcdCBzjyzhsuze,É Tarde Demais,Raça Negra
0G3PPOWMMPwBJIEH7Udnsu,Pimpolho,Art Popular
2CfYBDMvXBKxIqBOUjAvfU,Cilada,Molejo
6RtPijgfPKROxEzTHNRiDp,Rude,MAGIC!
5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello
1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled
6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Avicii
6rPO02ozF3bM7NnOV4h6s2,Despacito - Remix,Luis Fonsi
6jEZLz3YpnEBRpVkv35AmP,Gasolina,Daddy Yankee
4kLLWz7srcuLKA7Et40PQR,I Gotta Feeling,Black Eyed Peas
3oDFtOhcN08qeDPAK6MEQG,Boom Boom Pow,Black Eyed Peas
3F9ByoUqu31xU0I3G5xfVg,Meet Me Halfway,Black Eyed Peas
3JA9Jsuxr4xgHXEawAdCp4,Just Can’t Get Enough,Black Eyed Peas
5jRv01LnV7orjhMWiL5PyM,Naive - Acoustic,The Kooks
3QmesrvdbPjwf7i40nht1D,Everlong - Acoustic Version,Foo Fighters
5FZxsHWIvUsmSK1IAvm2pp,Best of You,Foo Fighters
6tsojOQ5wHaIjKqIryLZK6,All My Life,Foo Fighters
67vYdAAM3oGsEImCRfbtsF,Times Like These,Foo Fighters
2jz6rWGqVCYsymwxGoaON4,Detroit Rock City,KISS
3ftHrCjsTUPLgI48m67byk,Plush - Acoustic,Stone Temple Pilots
7zkDEBSxkcBVsStS4qBFpK,Lisztomania,Phoenix
5T6bJp3XgwT0IaCfKMxmAu,Perfect - Acoustic,Ed Sheeran
5X6TnKT37TaSDkFm0598Uo,Castle on the Hill - Acoustic,Ed Sheeran
4BpndTKEqpLgntffipC53q,Don't You Worry Child - Acoustic Version,Swedish House Mafia
2Zi27tBhXnDQTz3porgaiw,Here Without You - Acoustic Version,3 Doors Down
3AA8xNhDC0MpqwkGX3EP5V,If I Ever Feel Better,Phoenix
4HqU80xAozomP0XtgxAu6w,Budapest - Live from Spotify Stockholm,George Ezra
59XNy4523UcEvQfYM8fdQB,Somebody Told Me,The Killers
7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy
2iXdwVdzA0KrI2Q0iZNJbX,Better Together,Jack Johnson
0BgbobvykXxEvxo2HhCuvM,Banana Pancakes,Jack Johnson
1dnXuEuApvuVqQCn0v9McL,"Sitting, Waiting, Wishing",Jack Johnson
1A4WjuUXeFEVXjwgc7eVZ6,Good People,Jack Johnson
2Z2vOukzwOgqR4dkymRSWd,Santeria,Sublime
2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz
1lkvpmrCaXK8QtliFDcHBO,Bubbly,Colbie Caillat
38jy6kRlPt8z1GUS9WXeNh,93 Million Miles,Jason Mraz
0z87ojCfgphUWZ5ZqWCxIv,Regueton Lento (Bailemos),Alex Y Fido
6DUdDIRgLqCGq1DwkNWQTN,Borro Cassette,Maluma
4cQIbDqCZrHknxlDUjRHZ0,Supersoaker,Kings of Leon
